human_target,predicted_target,intention_correct,prediction_time,human_grasp_time,lead_time,robot_target,conflict_count,min_human_robot_distance,task_finish_time
red,red,True,0.8760000000000007,3.001999999999891,2.12599999999989,blue,0,0.08000000000000002,6.8779999999994645
blue,blue,True,1.6540000000000012,3.001999999999891,1.3479999999998897,green,0,0.08000000000000002,7.655999999999379
green,green,True,1.6540000000000012,3.001999999999891,1.3479999999998897,blue,0,0.08000000000000002,7.655999999999379
yellow,yellow,True,0.8760000000000007,3.001999999999891,2.12599999999989,blue,0,0.08000000000000002,6.8779999999994645
